2025-02-25 22:30:08.255 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 22:30:08.255 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 22:30:08.905 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 22:30:08.905 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 22:30:08.906 | INFO     | __main__:randomized_searchCV:180 - Training XGBoost model...
2025-02-25 22:39:30.828 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR XGBoost MODEL DONE !
2025-02-25 22:39:30.834 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 22:39:34.849 | INFO     | __main__:save_training_results:74 - XGBoost model,  frac=0.5,  Adjusted R² on the train set ----> 0.628
2025-02-25 22:39:34.850 | INFO     | __main__:save_training_results:75 - XGBoost model,  frac=0.5,  Adjusted R² on the test set ----> 0.554
2025-02-25 22:39:34.850 | INFO     | __main__:save_training_results:76 - XGBoost model,  frac=0.5,  RMSE on the train set ----> 22.932
2025-02-25 22:39:34.850 | INFO     | __main__:save_training_results:77 - XGBoost model,  frac=0.5,  RMSE on the test set ----> 25.073
2025-02-25 22:40:05.114 | INFO     | __main__:save_training_results:86 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:40:05.115 | INFO     | __main__:save_training_results:87 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:40:05.115 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
