2025-02-25 22:11:05.792 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 22:11:05.793 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 22:11:06.949 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 22:11:06.950 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 22:11:06.950 | INFO     | __main__:randomized_searchCV:180 - Training Linear model...
2025-02-25 22:11:06.956 | WARNING  | __main__:warning_handler:264 - c:\Users\Achille Nguessie\Desktop\Projects\2024\traffic-accident-impact\.venv\Lib\site-packages\sklearn\model_selection\_search.py:317 - UserWarning: The total space of parameters 1 is smaller than n_iter=20. Running 1 iterations. For exhaustive searches, use GridSearchCV.
2025-02-25 22:11:25.247 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR Linear MODEL DONE !
2025-02-25 22:11:25.248 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 22:11:28.110 | INFO     | __main__:save_training_results:74 - Linear model,  frac=0.8,  Adjusted R² on the train set ----> 0.269
2025-02-25 22:11:28.110 | INFO     | __main__:save_training_results:75 - Linear model,  frac=0.8,  Adjusted R² on the test set ----> 0.270
2025-02-25 22:11:28.111 | INFO     | __main__:save_training_results:76 - Linear model,  frac=0.8,  RMSE on the train set ----> 32.144
2025-02-25 22:11:28.111 | INFO     | __main__:save_training_results:77 - Linear model,  frac=0.8,  RMSE on the test set ----> 32.109
2025-02-25 22:12:22.620 | INFO     | __main__:save_training_results:86 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:12:22.621 | INFO     | __main__:save_training_results:87 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:12:22.621 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
